x,y,z,u,v,w,p,res_u,res_v,res_w,res_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.7777777777777777,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3902635961142112,-0.001033966892447505,0.0035708052328865094,0.3902813013578053
0.0,0.1111111111111111,0.1111111111111111,-0.16603455275235413,-0.027579114223646315,0.03762218806505873,0.0,0.3838265461034263,-0.0036456847449713218,0.014170488722577675,0.3841053387569379
0.0,0.1111111111111111,0.2222222222222222,-0.3114276727353731,-0.054119056994242756,0.07165559694432247,0.0,0.5190076310762016,0.005662189862585268,0.02070016387594086,0.51945113176685
0.0,0.1111111111111111,0.3333333333333333,-0.4155762504707521,-0.07980093102910471,0.1027256649718455,0.0,0.7406524086550326,0.02411873740617801,0.019460852098170625,0.7413004982494996
0.0,0.1111111111111111,0.4444444444444444,-0.4631811304961194,-0.10476226772824113,0.13130735691335244,0.0,0.9668263927986054,0.05111267677465048,0.002725681422050443,0.9681803596842107
0.0,0.1111111111111111,0.5555555555555556,-0.44602629560771917,-0.11242478669557814,0.1577698703898642,0.0,1.0532012608758055,0.10001922840267252,-0.014436812544254737,1.0580383563543858
0.0,0.1111111111111111,0.6666666666666666,-0.36392201317403916,-0.1028732354613101,0.18240588104361144,0.0,0.9862070613796841,0.08074640582278969,-0.027561363187772258,0.9898908923256233
0.0,0.1111111111111111,0.7777777777777777,-0.22469200756834654,-0.09286111914817993,0.20545132994369103,0.0,0.8731874237151218,0.071845288473063,-0.06043286449782487,0.8782198776624461
0.0,0.1111111111111111,0.8888888888888888,-0.04320242323179249,-0.082444318603207,0.2270992016260802,0.0,0.7679623234573245,0.0786214341358012,-0.11196437215246334,0.7800535114894604
0.0,0.1111111111111111,1.0,0.16045271635824745,-0.07166912362923163,0.24750935795039827,0.0,0.7150975559290131,0.10457341100779502,-0.17625505808924435,0.7438857158781154
0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.7812341622709086,-0.002080711946404257,0.007141610465773017,0.7812695746420547
0.0,0.2222222222222222,0.1111111111111111,-0.3246204326816089,-0.054889189978776315,0.07524437613011745,0.0,0.7053427747482004,-0.02639195485831025,0.06937297563652829,0.7092373191812456
0.0,0.2222222222222222,0.2222222222222222,-0.6086685284610825,-0.10768719456997707,0.1433111938886449,0.0,1.0351013676678247,-0.028554411207591668,0.1457278840484678,1.045699197635944
0.0,0.2222222222222222,0.3333333333333333,-0.8108142402431255,-0.15875845734543886,0.20545132994369097,0.0,1.6180721838775518,-0.017072767528166784,0.21620460425000462,1.6325420369865644
0.0,0.2222222222222222,0.4444444444444444,-0.9003652206493923,-0.20837974077124705,0.2626147138267048,0.0,2.219567170258932,0.007580755984782535,0.2461748278017334,2.233190080802742
0.0,0.2222222222222222,0.5555555555555556,-0.8608163392503826,-0.22379947506965137,0.31553974077972835,0.0,2.512248866521926,0.17204276899517307,0.24520764769569917,2.5300434526293585
0.0,0.2222222222222222,0.6666666666666666,-0.6917301850543843,-0.20518820264369364,0.3648117620872228,0.0,2.4624973805653885,0.13439310801940824,0.206575898724761,2.4747986703383487
0.0,0.2222222222222222,0.7777777777777777,-0.4087074937399358,-0.1856501082191933,0.410902659887382,0.0,2.3001311349391256,0.13698556575554974,0.07629250364375503,2.305469329497565
0.0,0.2222222222222222,0.8888888888888888,-0.041442345920699564,-0.16529764408724182,0.45419840325216027,0.0,2.185788974296099,0.200439559675701,-0.140303727876937,2.199439608921679
0.0,0.2222222222222222,1.0,0.36990886188546823,-0.14422396192075065,0.4950187159007965,0.0,2.245549222083227,0.3382319889260534,-0.4188576368042378,2.3091846844807997
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.1748620665557707,-0.0031531712408261335,0.010712415698659527,1.1749151347100228
0.0,0.3333333333333333,0.1111111111111111,-0.4552084610648037,-0.08170099428503586,0.1128665641951762,0.0,0.8909684633191339,-0.06770032509282484,0.16054083840985187,0.9078444235904471
0.0,0.3333333333333333,0.2222222222222222,-0.8525843951611088,-0.16023294557268125,0.2149667908329674,0.0,1.3119015616505452,-0.1008544473681367,0.3561557222949863,1.3631229678714005
0.0,0.3333333333333333,0.3333333333333333,-1.1296053760239533,-0.23614814222346825,0.30817699491553646,0.0,2.175186141689007,-0.11889762369465742,0.5508594620677436,2.247001900948397
0.0,0.3333333333333333,0.4444444444444444,-1.2398324029128789,-0.30986599810682197,0.39392207074005725,0.0,3.052614911021019,-0.12063299641073537,0.6662634666696426,3.126806217505259
0.0,0.3333333333333333,0.5555555555555556,-1.158196481002757,-0.33323351075792795,0.4733096111695926,0.0,3.4968551680155397,0.22979524720823852,0.6875469149542349,3.5712074543464385
