x,y,z,u,v,w,p,res_u,res_v,res_w,res_norm
0.0,0.0,0.0,0.0,1.58570672264638,0.0,-1.30422060288593,2.8425895273151713,1.473497346295041,-1.8056006374842815,3.675826888255765
0.0,0.0,0.1111111111111111,0.0,1.58570672264638,0.0,-1.167067873261671,2.7054367976909126,2.694994114321215,-1.6157224408860251,4.146437090865933
0.0,0.0,0.2222222222222222,0.0,1.58570672264638,0.0,-1.0443382183854732,2.582707142814715,3.7655000718186624,-1.4458119651640968,4.789544781607556
0.0,0.0,0.3333333333333333,0.0,1.58570672264638,0.0,-0.934514897863193,2.4728838222924345,4.539576653258886,-1.2937693911494816,5.328860087002106
0.0,0.0,0.4444444444444444,0.0,1.58570672264638,0.0,-0.8362406727567502,2.3746095971859917,4.909255246553906,-1.1577157180915452,5.574931703508223
0.0,0.0,0.5555555555555556,0.0,1.58570672264638,0.0,-0.7483010323020391,2.2866699567312807,4.816879324792335,-1.0359695422422956,5.431797015084696
0.0,0.0,0.6666666666666666,0.0,1.58570672264638,0.0,-0.6696091845166444,2.207978108945886,4.261897176989905,-0.9270262774205914,4.888590041703953
0.0,0.0,0.7777777777777777,0.0,1.58570672264638,0.0,-0.5991926252055014,2.137561549634743,3.3007839384297917,-0.8295395607560104,4.019014788419202
0.0,0.0,0.8888888888888888,0.0,1.58570672264638,0.0,-0.5361811193790996,2.0745500438083413,2.0401005389228843,-0.7423046138174006,3.002796069145095
0.0,0.0,1.0,0.0,1.58570672264638,0.0,-0.4797959465539575,2.018164870983199,0.6235251641182009,-0.6642433534965174,2.2142701527644637
0.0,0.1111111111111111,0.0,0.10561836567233189,1.58570672264638,-0.21790643152335554,-1.167067873261671,2.6335100293276943,1.1495343293808165,-1.9796190449134567,3.4893689704556357
0.0,0.1111111111111111,0.1111111111111111,0.10561836567233189,1.679039147996337,-0.19499124231381673,-1.0443382183854732,2.5958659613944666,2.4323646581793223,-1.9275768385714696,4.046043794681839
0.0,0.1111111111111111,0.2222222222222222,0.10561836567233189,1.7611143054091922,-0.17448583005688098,-0.934514897863193,2.5608656503003093,3.709428470334844,-1.8469953011461417,4.871271302019079
0.0,0.1111111111111111,0.3333333333333333,0.10561836567233189,1.8220327196006396,-0.1561367809618876,-0.8362406727567502,2.518127097900101,4.745505434993636,-1.732316593791835,5.644617497745926
0.0,0.1111111111111111,0.4444444444444444,0.10561836567233189,1.8544467307591495,-0.13971733040553042,-0.7483010323020393,2.459737371682126,5.329771886198849,-1.585423203433514,6.080324253734394
0.0,0.1111111111111111,0.5555555555555556,0.10561836567233189,1.8544467307591495,-0.1250245604872124,-0.6696091845166444,2.381045523896731,5.336058963662398,-1.4136751550965916,6.011770163162249
0.0,0.1111111111111111,0.6666666666666666,0.10561836567233189,1.8220327196006396,-0.111876892291394,-0.5991926252055014,2.2810790503488523,4.7605780710622465,-1.2277168761853159,5.4197522021481195
0.0,0.1111111111111111,0.7777777777777777,0.10561836567233189,1.7611143054091924,-0.10011184186534584,-0.5361811193790996,2.1625318718162165,3.7218780161752587,-1.0393567140012276,4.428225654011894
0.0,0.1111111111111111,0.8888888888888888,0.10561836567233189,1.679039147996337,-0.08958401217981429,-0.4797959465539575,2.0313236895629507,2.423093377453294,-0.8597536255243844,3.276710811811133
0.0,0.1111111111111111,1.0,0.10561836567233189,1.58570672264638,-0.0801632962564752,-0.4293402770246472,1.8957824330906705,1.09182596907916,-0.698062733454305,2.296381187914699
0.0,0.2222222222222222,0.0,0.19849759768351594,1.58570672264638,-0.4358128630467111,-1.0443382183854732,2.2619790396854706,0.5114379679814799,-2.185113273936886,3.186351831013739
0.0,0.2222222222222222,0.1111111111111111,0.19849759768351594,1.7611143054091924,-0.38998248462763346,-0.934514897863193,2.282514401297548,1.7142157127797315,-2.2340222783469352,3.6248121388869325
